time,index
0.000006727556955909894, 0.00016029282679906902
0.000007118777463153442, 0.00016032431572949817
0.0000073612237537662065, 0.00016027529073431486
0.000007372431010574804, 0.0001606869275756113
0.000007691762366331835, 0.00016096183098076238
0.000008087578378678446, 0.00016093067370538417
0.000008491196737307896, 0.00016085309901384126
0.000008853990605793752, 0.00016091382612628614
0.000009156203535316817, 0.00016094690195634284
0.00000933493112835109, 0.00016060218096703986
0.000009568536467596873, 0.00016025868047040673
0.000009743452198763106, 0.000159927568993584
0.000010117507276954913, 0.00015994996902258754
0.000010494805021451704, 0.0001600667791578324
0.000010846344609186328, 0.000160399065630911
0.000011124080082736902, 0.00016076680098032112
0.000011484316474340964, 0.0001609660034789897
0.000011697698070866553, 0.00016102250276719388
0.000011794891997328674, 0.00016133316473311657
0.000011717586917117247, 0.00016169428985369735
0.000011888445909395491, 0.00016200843951319846
0.000012096165145119426, 0.00016212268430858612
0.000012134112896456843, 0.00016255788033526784
0.000012355723999816973, 0.0001627645231008404
0.000012296433208983892, 0.00016315605615041607
0.000012476606776066856, 0.0001635999114088914
0.000012684548741772461, 0.00016358973245453114
0.000012643786802345021, 0.0001640905742801015
0.00001271132339520301, 0.00016454778856552171
0.000012621180493465832, 0.00016484145403791343
0.000012724678480097775, 0.00016501897111136
0.000012785353458607086, 0.00016552484267621736
0.000013041549697809989, 0.00016571404434440845
0.000013076485064962228, 0.0001661319152380823
0.000013073469797233398, 0.00016653488159105157
0.000013132747158246174, 0.00016698454334535017
0.00001331441030768838, 0.00016740949338085143
0.000013574558926281059, 0.00016759943679218298
0.000013587728228577653, 0.0001680254122391331
0.000013722826428075857, 0.00016858032818401416
0.000013955866380819216, 0.0001686919430374932
0.000013975718320693492, 0.0001691095829742943
0.000014294565210116365, 0.00016950689151206785
0.000014601355905695607, 0.000169988333484688
0.000014880302115624867, 0.00017042740462963458
0.000015176287604852301, 0.00017043966233076465
0.000015290302001933414, 0.00017016607160340853
0.000015452144679707424, 0.00016986432802444266
0.000015636003332703594, 0.00016959869456945048
0.00001584298536355861, 0.00016942935704253998
0.000015960113100540025, 0.00016985241247209593
0.000016275370972410037, 0.0001701695288560609
0.000016619318557280704, 0.00017036787007901978
0.000016991083295176394, 0.00017065189643034983
0.000017376414926865308, 0.00017066501375342697
0.00001776630581092466, 0.00017064012977107594
0.000018172610112379703, 0.00017067034695463905
0.00001843114539508904, 0.00017070587380585374
0.000018491811604556984, 0.00017101949992790185
0.000018880520386842903, 0.00017127336888554022
0.000019243495538331345, 0.00017165606367313535
0.000019606279235196186, 0.0001719458619226794
0.000019817344858184652, 0.0001723649925763691
0.00001997603819246869, 0.0001727752423803566
0.000020086959515936683, 0.0001732705932620629
0.000020371117261366556, 0.00017357198830634263
0.00002054900599569268, 0.00017404602979779552
0.00002081463410399187, 0.00017444855411302907
0.000021002415592516357, 0.0001745410624059414
0.00002097704140426231, 0.00017491612714690873
0.000021229149177901802, 0.00017528591673647367
0.000021485248182831584, 0.00017533102535001295
0.000021555252021873198, 0.00017569396417881024
0.00002176995565752541, 0.00017613831572064884
0.00002205191140770531, 0.00017643840286437023
0.000022400406091038752, 0.00017652894018991327
0.000022585241501704117, 0.0001762548075344029
0.000022892326542631636, 0.00017595785513912045
0.00002326876987096314, 0.00017586675734081227
0.000023610833944132493, 0.0001757457051220449
0.000023600740835175433, 0.00017527439726050783
0.000023999592570530112, 0.0001751781363799649
0.000024315001976466798, 0.00017502133158479755
0.0000244973883758539, 0.00017474667744698144
0.00002486644645547541, 0.00017484318444725496
0.00002480438500923428, 0.000174428212548561
0.000024604566506041645, 0.00017434869653035973
0.000025103588232148416, 0.00017533922522922866
0.000025273291593515125, 0.00017575217959399058
0.000025573997173035022, 0.0001761222944776522
0.000025858577690718943, 0.00017646550287395935
0.000025979070347397968, 0.00017685572408913686
0.00002633333446289571, 0.00017672632585992147
0.000026523082481325833, 0.00017641709159666689
0.000026837134707993208, 0.00017627911038327297
0.00002714867106798737, 0.00017608464590177606
0.000027495109060282584, 0.00017586337266262302
0.000027728318778888814, 0.00017560108084681568
0.00002795255722961155, 0.00017526946682637745
0.000028336317850990094, 0.00017529177746904856
0.000028745164351525004, 0.0001753054981936159
0.000029076142149969988, 0.0001754042683094006
0.00002946712452720752, 0.00017537781227169999
0.00002987570910661514, 0.00017532779885529276
0.00003022150897883051, 0.00017556008011534413
0.00003062024330173109, 0.00017568333411905593
0.000030821796223927816, 0.00017575585054823144
0.00003095915866603992, 0.0001753170750985396
0.000031297916380917473, 0.0001751903101942683
0.00003152115695895188, 0.00017505251052296717
0.00003192189604135424, 0.00017510253500849254
0.00003214480227652401, 0.00017509711355642873
0.000032238836251411555, 0.0001755162923236592
0.00003251007554259131, 0.00017580746999333168
0.00003279172415236805, 0.00017580428050132198
