temperature_K,polarizability_m3,
110.1619431583901, 1.7637977389999062e-30
138.34046660634647, 1.763972183131626e-30
171.88153750608933, 1.7640976057791536e-30
198.7087884685575, 1.7642050698939862e-30
234.93706932394588, 1.7643502067110735e-30
263.1068650503065, 1.7644596293169047e-30
300.6856668069853, 1.764577257959714e-30
344.9422028554744, 1.7647106737431813e-30
385.1675751426204, 1.7648674750601995e-30
447.3213534047136, 1.7650946045942743e-30
477.7309102830412, 1.7652309885230007e-30
500.5260587534989, 1.7652437335167985e-30
555.5235713972392, 1.7654307582682195e-30
611.8616768266239, 1.7656163103838025e-30
668.1997822560087, 1.7658018624993854e-30
724.5372946776735, 1.7659829967074547e-30
754.0448858691011, 1.7660589955280356e-30
782.2131266887227, 1.7661457229675495e-30
838.5533076451275, 1.7663467377594313e-30
872.8820089439287, 1.7664355624355004e-30
899.8062610577417, 1.7665219814241485e-30
954.9142708066393, 1.7666998022015823e-30
987.4336784709426, 1.7667388337450874e-30
1010.2464374736908, 1.766882777204449e-30
1071.2818064703806, 1.7671018317853454e-30
1099.7819057447543, 1.76716368249054e-30
1124.2623318396006, 1.7672456346749226e-30
1180.5969978242094, 1.767405562926925e-30
1236.9345102458742, 1.7675866971349944e-30
1293.2714296598192, 1.7677634134355496e-30
1349.6071630583237, 1.767931293921077e-30
1407.284378754053, 1.7681043286320373e-30
1464.9608037728224, 1.768271472799646e-30
1496.2601788939605, 1.768377743378053e-30
1529.34456889771, 1.7684638563133917e-30
1558.854325287912, 1.7685559858648403e-30
1588.3653668020204, 1.7686576895893923e-30
1617.8746015645058, 1.768745933014354e-30
1647.3802798278045, 1.7688076805203737e-30
1676.8916278541649, 1.7689116677612034e-30
1706.4063768148799, 1.7690409919629732e-30
1738.0041582366825, 1.7691506363949087e-30
1769.4514180202732, 1.769126548943164e-30
1805.6561920659005, 1.7692743378052976e-30
1861.991332456685, 1.769437800383311e-30
1918.3258798397496, 1.769596845053811e-30
1973.31830250056, 1.7697459494324044e-30
