temperature_K,polarizability_m3
102.53300186002275, 8.196561834698345e-31
131.9984108543464, 8.198841678364971e-31
161.46381984866997, 8.200427813428897e-31
190.9292288429936, 8.202812499887256e-31
220.39463783731725, 8.204650279298167e-31
249.8600468316409, 8.206824017441569e-31
279.32545582596447, 8.209098729006638e-31
308.7908648202881, 8.211060430051299e-31
338.25627381461175, 8.213968443979278e-31
367.7216828089354, 8.216469770749294e-31
397.187091803259, 8.219233204498644e-31
426.65250079758255, 8.222249473170382e-31
456.1179097919062, 8.225006872867112e-31
485.5833187862298, 8.227195935159098e-31
515.0487277805535, 8.229429075799606e-31
544.7373595702886, 8.231258349382478e-31
572.9492867134552, 8.23398961403944e-31
603.4449547635244, 8.236289333634946e-31
632.9103637578479, 8.238667497698608e-31
660.5899903888792, 8.241204813175096e-31
691.8411817464952, 8.244308670744206e-31
721.3065907408188, 8.24695770102054e-31
750.7719997351425, 8.248952672462964e-31
780.2374087294661, 8.251514033095832e-31
809.7028177237896, 8.254952956036379e-31
839.1682267181134, 8.257430735870607e-31
868.6336357124369, 8.259824691379405e-31
898.0990447067607, 8.263429852920643e-31
927.5644537010842, 8.26636786831803e-31
957.0298626954077, 8.269257719528576e-31
986.4952716897315, 8.272484720047016e-31
1015.960680684055, 8.275509430980721e-31
1045.4260896783787, 8.278312586654949e-31
1074.6236313182083, 8.281428809543653e-31
1104.3569076670258, 8.284573930944462e-31
1133.8223166613495, 8.287849095649745e-31
1163.287725655673, 8.29112426035503e-31
1192.7531346499968, 8.294399425060313e-31
1222.2185436443203, 8.297963574886652e-31
1251.683952638644, 8.301383232152464e-31
1281.1493616329676, 8.30489921779196e-31
1310.6147706272911, 8.308415203431455e-31
1340.080179621615, 8.31212384581832e-31
1369.5455886159384, 8.315832488205186e-31
1399.0109976102622, 8.318587479692573e-31
1428.4764066045857, 8.323442429726288e-31
1457.9418155989094, 8.327343728860522e-31
1487.407224593233, 8.331245027994757e-31
1516.8726335875565, 8.334584411615831e-31
1546.3380425818802, 8.338252213658497e-31
1575.8034515762038, 8.343165664238254e-31
1605.2688605705275, 8.347572687334334e-31
1634.734269564851, 8.351714807402781e-31
1664.1996785591748, 8.356001420031756e-31
1693.6650875534983, 8.360239868473889e-31
1723.1304965478218, 8.364719137850232e-31
1752.5959055421456, 8.369005750479206e-31
1782.0613145364691, 8.373340527295023e-31
1811.5267235307929, 8.377819796671369e-31
1840.9921325251166, 8.382299066047712e-31
1870.45754151944, 8.386826499610899e-31
1899.9229505137637, 8.3912576048004e-31
1929.3883595080874, 8.395929530924115e-31
1958.8537685024107, 8.400456964487301e-31
1986.9798407242652, 8.404767659209696e-31
