U,T_ratio
0.771, 2.944
1.278, 5.414
1.663, 7.845
2.073, 11.003
2.435, 14.343
2.733, 17.661
3.038, 21.588
3.327, 25.498
3.544, 28.891
3.785, 32.837
3.978, 36.341
4.195, 40.395
4.340, 43.497
4.533, 47.424
4.678, 50.997
4.870, 55.316
5.015, 58.987
5.160, 62.816
5.304, 66.703
5.449, 70.629
5.594, 74.536
5.738, 78.404
5.883, 82.330
6.028, 86.296
6.148, 89.614
6.245, 92.176
6.341, 94.856
6.462, 98.350
