U,T_ratio
0.723, 2.751
1.254, 4.893
1.780, 7.001
2.228, 9.046
2.677, 11.375
3.126, 14.070
3.545, 16.374
3.963, 19.017
4.270, 20.760
4.774, 24.022
5.256, 26.535
5.787, 29.126
6.317, 31.365
6.848, 33.228
7.378, 34.791
7.909, 36.462
8.439, 38.743
8.921, 41.233
9.307, 43.733
9.621, 46.207
9.886, 48.704
10.151, 51.390
10.464, 54.284
10.802, 56.960
11.164, 59.621
11.550, 62.315
11.935, 64.892
12.345, 67.528
12.779, 70.184
13.213, 72.776
13.647, 75.276
14.105, 77.870
14.588, 80.497
15.022, 82.870
