U,T_ratio
0.771, 2.922
1.302, 5.096
1.832, 7.074
2.458, 9.335
2.957, 11.877
3.399, 14.262
3.849, 16.917
4.251, 19.029
4.678, 21.024
5.208, 22.894
5.738, 24.543
6.269, 25.882
6.799, 27.081
7.330, 28.409
7.860, 30.080
8.391, 32.425
8.849, 34.854
9.211, 37.490
9.548, 40.317
9.910, 42.850
10.344, 45.406
10.850, 47.963
11.381, 50.351
11.911, 52.514
12.442, 54.484
12.972, 56.294
13.503, 57.911
14.033, 59.443
14.564, 60.910
15.046, 62.161
