vibNum,pol
0.0817, 0.6956
0.3501, 0.7086
0.6185, 0.7178
0.8870, 0.7197
1.1554, 0.7324
1.4238, 0.7417
1.6923, 0.7553
1.9607, 0.7551
2.2310, 0.7699
2.4975, 0.7804
2.7660, 0.7925
3.0344, 0.8056
3.2922, 0.8019
3.5862, 0.8257
3.8397, 0.8219
4.1081, 0.8325
4.3765, 0.8508
4.6450, 0.8620
4.9134, 0.8637
5.1818, 0.8772
5.4502, 0.8967
5.7187, 0.9036
5.9871, 0.8996
6.2555, 0.9272
6.5240, 0.9425
6.7924, 0.9527
7.0608, 0.9620
7.3292, 0.9811
7.5977, 0.9929
7.8661, 1.0020
8.1345, 1.0159
8.4030, 1.0333
8.6714, 1.0458
8.9398, 1.0441
9.2082, 1.0692
9.4767, 1.0882
9.7470, 1.1013
10.0135, 1.1072
10.2820, 1.1338
10.5504, 1.1490
10.8188, 1.1603
11.0872, 1.1644
11.3557, 1.1985
11.6241, 1.2146
11.8925, 1.2253
12.1610, 1.2406
12.4294, 1.2673
12.6978, 1.2847
12.9662, 1.3022
13.2347, 1.3210
13.5031, 1.3408
13.7715, 1.3553
14.0400, 1.3701
14.3084, 1.3984
14.5768, 1.4192
14.8452, 1.4360
15.1137, 1.4573
15.3821, 1.4821
15.6505, 1.5038
15.9189, 1.5239
16.1874, 1.5460
16.4558, 1.5712
16.7242, 1.5925
16.9927, 1.6157
17.2611, 1.6430
17.5295, 1.6681
17.7979, 1.6874
18.0664, 1.7088
18.3348, 1.7459
18.6032, 1.7719
18.8717, 1.7912
19.0890, 1.7982
